epoch,train_loss,train_acc,val_loss,val_acc
1,1.6639089996133853,56.08038424138846,0.8649320936292634,75.89722435028581
2,0.6871601063670357,80.7643574859298,0.5147529229297674,85.70334138723555
3,0.5234408698674085,85.18431210772903,0.47651218370835585,86.68748895043903
4,0.4439811047436942,87.22633114300027,0.3611067793983266,90.05834168189051
5,0.39391901326505335,88.68491616819401,0.39136332049405664,88.62631858094171
6,0.35896304209034585,89.59395350207738,0.35672677759277194,89.64582473923036
7,0.33327905429241006,90.18180746677668,0.3114153817576125,90.95998585656197
8,0.3143778544667192,90.83154079618116,0.32589772234397724,90.24102775649715
9,0.28673253435918905,91.48716739841471,0.29452094452497657,91.39607519594554
10,0.2734087729768636,91.99251554350708,0.3304768136345354,90.55336201308268
11,0.2628143107260487,92.22824645666971,0.2795007135018818,91.97359891566975
12,0.24498545930042342,92.63340896366797,0.2778599935170627,92.00895751075491
13,0.2369763545663878,92.90744615021953,0.260581029144893,92.55701573457482
14,0.2275668525371374,93.21389633733094,0.2546201437375599,92.79863280099003
15,0.218849542648176,93.43342075021363,0.25308213319237294,92.81631209853262
16,0.20917975133799305,93.80027698382297,0.24367418064546764,93.0225705698627
17,0.2021939368930827,93.94024221351327,0.2399904435374459,93.19936354528846
18,0.19659460288218797,94.18186639950497,0.23847887777072146,93.0225705698627
19,0.18739653816911883,94.41907063087486,0.25991702512522835,92.76916730508574
20,0.17947649174351438,94.72110086336447,0.24150091163197854,92.98721197477754
21,0.17692471943395413,94.77119368241152,0.2414297422716268,93.14632565266074
22,0.16983795824349207,94.97893154963609,0.24266892054671407,93.04614296658613
23,0.16559078912167308,94.9833515042579,0.24558048656812512,93.11096705757558
24,0.1603898285632702,95.19108937148245,0.23222100156310357,93.60598738876776
25,0.15203255107915986,95.42387364823054,0.24143581864725155,93.27597383463964
